,orderItemID,orderDate,deliveryDate,itemID,size,color,manufacturerID,price,customerID,salutation,dateOfBirth,state,creationDate,returnShipment
79,80,2012-04-02,2012-04-26,239,unsized,brown,60,0.0,50,Mrs,1900-11-19,Baden-Wuerttemberg,2011-11-06,0
570,571,2012-04-01,2012-04-04,287,38,blue,61,49.9,1317,Mrs,1900-11-19,Bavaria,2011-11-03,0
571,572,2012-04-01,2012-04-04,287,37,blue,61,49.9,1317,Mrs,1900-11-19,Bavaria,2011-11-03,1
572,573,2012-04-01,2012-04-04,54,l,denim,30,32.95,1317,Mrs,1900-11-19,Bavaria,2011-11-03,0
573,574,2012-04-01,2012-04-26,32,xl,blau,3,24.9,1317,Mrs,1900-11-19,Bavaria,2011-11-03,0
574,575,2012-04-01,2012-05-24,592,48,olive,39,49.9,1317,Mrs,1900-11-19,Bavaria,2011-11-03,0
575,576,2012-04-01,,592,50,olive,39,49.9,1317,Mrs,1900-11-19,Bavaria,2011-11-03,0
653,654,2012-04-03,2012-04-04,688,s,olive,5,49.9,1359,Mrs,1901-09-25,Hesse,2011-02-16,1
654,655,2012-04-03,2012-04-04,55,40,grey,1,89.9,1359,Mrs,1901-09-25,Hesse,2011-02-16,1
655,656,2012-04-03,,688,s,mocca,5,49.9,1359,Mrs,1901-09-25,Hesse,2011-02-16,0
656,657,2012-04-03,,688,s,brown,5,49.9,1359,Mrs,1901-09-25,Hesse,2011-02-16,0
704,705,2012-04-03,2012-04-04,57,xl,green,3,39.9,1390,Mrs,1901-10-19,Baden-Wuerttemberg,2011-02-16,0
929,930,2012-04-01,2012-05-02,113,39,grey,1,99.9,1524,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
930,931,2012-04-01,2012-05-02,22,s,blue,14,39.9,1524,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
931,932,2012-04-01,2012-05-02,17,38,blue,11,69.9,1524,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
932,933,2012-04-01,2012-05-02,238,s,petrol,20,89.9,1524,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
933,934,2012-04-01,2012-05-02,255,s,blue,37,34.9,1524,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
934,935,2012-04-01,2012-05-02,358,s,grey,74,59.9,1524,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,0
935,936,2012-04-01,2012-05-02,358,m,grey,74,59.9,1524,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
936,937,2012-04-01,2012-05-02,234,s,petrol,36,99.9,1524,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
937,938,2012-04-01,2012-05-02,346,s,white,5,69.9,1524,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,0
938,939,2012-04-01,2012-05-02,346,s,blue,5,69.9,1524,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,0
939,940,2012-04-01,2012-05-02,370,s,ocher,31,89.9,1524,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
940,941,2012-04-01,2012-05-02,631,s,grey,74,69.9,1524,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
941,942,2012-04-01,2012-05-02,705,40,grey,1,119.9,1524,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,0
942,943,2012-04-01,2012-05-02,283,39,ecru,1,59.9,1524,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
943,944,2012-04-01,2012-05-28,122,39,grey,1,79.9,1524,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,0
980,981,2012-04-01,2012-04-04,260,43,blue,17,129.9,1540,Mrs,1900-11-19,North Rhine-Westphalia,2011-09-23,0
981,982,2012-04-01,2012-04-04,103,43,anthracite,17,139.9,1540,Mrs,1900-11-19,North Rhine-Westphalia,2011-09-23,0
1210,1211,2012-04-03,2012-04-05,446,37,red,23,129.9,1649,Mrs,1900-11-19,Bavaria,2011-11-14,1
1211,1212,2012-04-03,2012-04-05,721,28,turquoise,69,69.9,1649,Mrs,1900-11-19,Bavaria,2011-11-14,1
