,orderItemID,orderDate,deliveryDate,itemID,size,color,manufacturerID,price,customerID,salutation,dateOfBirth,state,creationDate,returnShipment
223802,223803,2012-09-22,2012-09-24,1662,m,brown,36,109.9,48469,Mrs,1655-04-19,Bavaria,2011-02-16,1
201497,201498,2012-09-12,2012-09-13,1662,l,brown,36,109.9,48469,Mrs,1655-04-19,Bavaria,2011-02-16,1
322553,322554,2013-01-08,2013-01-31,2429,M,black,11,89.9,48469,Mrs,1655-04-19,Bavaria,2011-02-16,0
242557,242558,2012-10-08,2012-11-01,1804,xl,black,3,39.9,55553,Mrs,1900-11-19,Baden-Wuerttemberg,2011-09-25,1
136503,136504,2012-07-15,2012-07-18,25,xl,white,5,79.9,8456,Mrs,1900-11-19,North Rhine-Westphalia,2011-11-19,1
306555,306556,2012-12-20,2012-12-21,1504,XXL,black,11,59.9,9241,Mrs,1900-11-19,Brandenburg,2011-08-29,1
306554,306555,2012-12-20,2012-12-21,1504,XL,black,11,59.9,9241,Mrs,1900-11-19,Brandenburg,2011-08-29,1
306553,306554,2012-12-20,2012-12-21,1705,XL,black,36,89.9,9241,Mrs,1900-11-19,Brandenburg,2011-08-29,1
258491,258492,2012-10-20,2012-10-23,1736,41,brown,1,159.9,34500,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,0
258490,258491,2012-10-20,2012-10-23,1781,41,brown,40,159.9,34500,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
403326,403327,2013-02-24,2013-02-27,2024,30,black,51,49.9,76480,Mrs,1900-11-19,North Rhine-Westphalia,2011-10-25,1
403325,403326,2013-02-24,2013-02-27,2270,M,grey,56,49.9,76480,Mrs,1900-11-19,North Rhine-Westphalia,2011-10-25,1
136502,136503,2012-07-15,2012-07-18,1212,39,black,96,99.9,8456,Mrs,1900-11-19,North Rhine-Westphalia,2011-11-19,1
16433,16434,2012-04-12,2012-04-16,57,xl,black,3,39.9,7604,Mrs,1900-11-19,North Rhine-Westphalia,2011-04-23,0
242559,242560,2012-10-08,2012-11-01,1470,xl,black,3,39.9,55553,Mrs,1900-11-19,Baden-Wuerttemberg,2011-09-25,0
16434,16435,2012-04-12,2012-05-25,17,50,blue,11,69.9,7604,Mrs,1900-11-19,North Rhine-Westphalia,2011-04-23,0
102212,102213,2012-06-25,2012-06-26,222,m,blue,3,24.9,10865,Mrs,1900-11-19,Hesse,2011-12-20,0
258439,258440,2012-10-20,2012-10-23,1512,s,mocca,46,29.9,13787,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,0
403324,403325,2013-02-24,2013-02-27,1861,M,floral,49,49.9,76480,Mrs,1900-11-19,North Rhine-Westphalia,2011-10-25,1
242558,242559,2012-10-08,2012-11-01,1936,42,black,43,129.9,55553,Mrs,1900-11-19,Baden-Wuerttemberg,2011-09-25,1
258492,258493,2012-10-20,2012-10-23,1760,m,blue,113,49.9,34500,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
425777,425778,2013-03-05,2013-03-06,2636,42+,blue,1,129.9,18545,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
258493,258494,2012-10-20,2012-10-23,1760,m,dark denim,113,49.9,34500,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,0
450093,450094,2013-03-15,2013-03-18,2349,M,green,3,16.9,23236,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,0
258495,258496,2012-10-20,2012-10-23,1868,unsized,blue,123,5.5,34500,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
184719,184720,2012-08-28,2012-08-29,1547,m,green,37,39.9,490,Mrs,1900-11-19,Baden-Wuerttemberg,2011-04-19,1
102210,102211,2012-06-25,2012-06-26,237,unsized,olive,59,39.9,10865,Mrs,1900-11-19,Hesse,2011-12-20,0
102211,102212,2012-06-25,2012-06-26,215,m,denim,28,59.9,10865,Mrs,1900-11-19,Hesse,2011-12-20,0
258494,258495,2012-10-20,2012-10-23,1749,41,petrol,43,99.9,34500,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
425782,425783,2013-03-05,2013-03-21,2863,43,mocca,55,179.0,18545,Mrs,1900-11-19,North Rhine-Westphalia,2011-02-16,1
